# Package list from WSL host system (Ubuntu)
# Generated: 2026年 08月 28日 星期五 23:16:27 CST
# Total packages: 1105

Package                                  Version              Architecture
libbsd0:amd64                            0.12.2-2build2       amd64
libburn4t64:amd64                        1.5.6-1.2build1      amd64
libbz2-1.0:amd64                         1.0.8-6build2        amd64
libc-bin                                 2.43-2ubuntu2.3      amd64
libc-dev-bin                             2.43-2ubuntu2.3      amd64
libc-gconv-modules-extra:amd64           2.43-2ubuntu2.3      amd64
libc6:amd64                              2.43-2ubuntu2.3      amd64
libc6-dev:amd64                          2.43-2ubuntu2.3      amd64
libcaca0:amd64                           0.99.beta20-6ubuntu2.1 amd64
libcacard0:amd64                         1:2.8.1-2            amd64
libcairo-gobject2:amd64                  1.18.4-3             amd64
libcairo2:amd64                          1.18.4-3             amd64
libcap-ng0:amd64                         0.8.5-4build5        amd64
libcap2:amd64                            1:2.75-10ubuntu2     amd64
libcap2-bin                              1:2.75-10ubuntu2     amd64
libcbor0.10:amd64                        0.10.2-2ubuntu3      amd64
libcc1-0:amd64                           16-20260322-1ubuntu1 amd64
libcdparanoia0:amd64                     3.10.2+debian-14ubuntu2 amd64
libcgi-fast-perl                         1:2.17-1             all
libcgi-pm-perl                           4.71-1build1         all
libchafa0t64:amd64                       1.18.1-1             amd64
libclone-perl:amd64                      0.47-1               amd64
libcolord2:amd64                         1.4.8-3              amd64
libcom-err2:amd64                        1.47.2-3ubuntu4      amd64
libcrypt-dev:amd64                       1:4.5.1-1            amd64
libcrypt-urandom-perl                    0.55-1               amd64
libcrypt1:amd64                          1:4.5.1-1            amd64
libcryptsetup12:amd64                    2:2.8.4-1ubuntu4     amd64
libctf-nobfd0:amd64                      2.46-3ubuntu2        amd64
libctf0:amd64                            2.46-3ubuntu2        amd64
libcups2t64:amd64                        2.4.16-1ubuntu1.3    amd64
libcurl3t64-gnutls:amd64                 8.18.0-1ubuntu2.4    amd64
libcurl4t64:amd64                        8.18.0-1ubuntu2.4    amd64
libcwidget4:amd64                        0.5.18-6build2       amd64
libdata-dump-perl                        1.25-1               all
libdatrie1:amd64                         0.2.14-1             amd64
libdav1d7:amd64                          1.5.3-1              amd64
libdaxctl1:amd64                         81-1ubuntu1          amd64
